email_id,text,category
128,You've been selected for vacation! Claim your prize!,spam
36,Planning session for migration project next week.,meeting
142,Approval needed for budget budget increase.,approval
179,Please remember to submit reports by EOD.,reminder
23,System alert: authentication experiencing errors. DevOps investigating.,incident
5,URGENT: payment service down. Immediate action required.,incident
40,Kickoff meeting for budget initiative on Monday.,meeting
106,Get vacation free! Act now before it's too late!,spam
13,System alert: payment experiencing errors. DevOps investigating.,incident
178,Reminder: expenses deadline is next Friday.,reminder
28,URGENT: payment service down. Immediate action required.,incident
132,You've been selected for iPhone! Claim your prize!,spam
70,Weekly architecture status update and progress report.,report
32,Production issue: API not responding. Emergency response needed.,incident
93,migration performance metrics for last week.,report
95,Monthly project X analysis completed. Summary attached.,report
102,Unbelievable investment deal! 90% discount today only!,spam
174,Don't forget: OKRs submission due tomorrow.,reminder
158,Budget approval: budget project funding request.,approval
77,migration quarterly report attached for review.,report
113,You've been selected for investment! Claim your prize!,spam
141,Sign-off needed for budget contract renewal.,approval
56,Team meeting scheduled for migration to discuss project X.,meeting
72,hiring performance metrics for last week.,report
170,Friendly reminder about surveys meeting at 2pm.,reminder
43,budget review meeting moved to Thursday.,meeting
116,Amazing investment opportunity! Limited time offer!,spam
91,project X performance metrics for last week.,report
189,Friendly reminder about expenses meeting at 2pm.,reminder
186,Friendly reminder about OKRs meeting at 2pm.,reminder
198,Reminder: reports review needs to be completed.,reminder
74,Weekly architecture status update and progress report.,report
2,System alert: payment experiencing errors. DevOps investigating.,incident
57,architecture review meeting moved to Thursday.,meeting
25,Security incident: authentication vulnerability found. Patch needed urgently.,incident
147,Budget approval: architecture project funding request.,approval
27,URGENT: email service down. Immediate action required.,incident
166,Reminder: expenses deadline is next Friday.,reminder
64,project X review meeting moved to Thursday.,meeting
67,Annual migration report ready for distribution.,report
105,Get investment free! Act now before it's too late!,spam
110,You've been selected for credit card! Claim your prize!,spam
90,Annual security report ready for distribution.,report
143,Please approve security request by end of week.,approval
155,Please approve security request by end of week.,approval
131,Amazing credit card opportunity! Limited time offer!,spam
165,Please approve hiring request by end of week.,approval
31,Security incident: cloud vulnerability found. Patch needed urgently.,incident
44,Weekly sync for budget team at 10am tomorrow.,meeting
60,Planning session for architecture project next week.,meeting
153,budget purchase order requires manager approval.,approval
88,Monthly security analysis completed. Summary attached.,report
84,Annual budget report ready for distribution.,report
65,Kickoff meeting for architecture initiative on Monday.,meeting
97,Annual architecture report ready for distribution.,report
193,Friendly reminder about timesheets meeting at 2pm.,reminder
46,security review meeting moved to Thursday.,meeting
45,Team meeting scheduled for migration to discuss project X.,meeting
6,CRITICAL: cloud failure detected. Investigation ongoing.,incident
59,budget review meeting moved to Thursday.,meeting
51,architecture review meeting moved to Thursday.,meeting
146,Approval needed for project X budget increase.,approval
52,security review meeting moved to Thursday.,meeting
37,hiring review meeting moved to Thursday.,meeting
69,Weekly migration status update and progress report.,report
73,Weekly budget status update and progress report.,report
12,CRITICAL: payment failure detected. Investigation ongoing.,incident
50,budget review meeting moved to Thursday.,meeting
156,Budget approval: migration project funding request.,approval
154,budget purchase order requires manager approval.,approval
42,Weekly sync for project X team at 10am tomorrow.,meeting
30,URGENT: authentication service down. Immediate action required.,incident
167,Reminder: OKRs deadline is next Friday.,reminder
187,Reminder: reports review needs to be completed.,reminder
137,Approval needed for project X budget increase.,approval
157,Budget approval: security project funding request.,approval
162,Sign-off needed for hiring contract renewal.,approval
171,Don't forget: surveys submission due tomorrow.,reminder
191,Reminder: OKRs review needs to be completed.,reminder
129,Unbelievable prize deal! 90% discount today only!,spam
20,Production issue: payment not responding. Emergency response needed.,incident
26,System alert: API experiencing errors. DevOps investigating.,incident
47,migration review meeting moved to Thursday.,meeting
100,You've been selected for investment! Claim your prize!,spam
175,Reminder: reviews review needs to be completed.,reminder
164,Budget approval: migration project funding request.,approval
115,Get investment free! Act now before it's too late!,spam
109,Get investment free! Act now before it's too late!,spam
104,Congratulations! You won credit card! Click here now!,spam
79,Annual migration report ready for distribution.,report
190,Reminder: surveys deadline is next Friday.,reminder
152,Budget approval: migration project funding request.,approval
99,Monthly hiring analysis completed. Summary attached.,report
7,CRITICAL: email failure detected. Investigation ongoing.,incident
182,Don't forget: timesheets submission due tomorrow.,reminder
168,Please remember to submit expenses by EOD.,reminder
89,Annual hiring report ready for distribution.,report
195,Reminder: reviews review needs to be completed.,reminder
29,Production issue: authentication not responding. Emergency response needed.,incident
130,"You've been selected for $10,000! Claim your prize!",spam
169,Reminder: reviews deadline is next Friday.,reminder
136,Approval needed for migration budget increase.,approval
194,Reminder: reports deadline is next Friday.,reminder
134,Please approve migration request by end of week.,approval
66,Team meeting scheduled for hiring to discuss hiring.,meeting
118,"Unbelievable $10,000 deal! 90% discount today only!",spam
16,CRITICAL: email failure detected. Investigation ongoing.,incident
14,URGENT: email service down. Immediate action required.,incident
148,Sign-off needed for migration contract renewal.,approval
17,CRITICAL: cloud failure detected. Investigation ongoing.,incident
127,Congratulations! You won vacation! Click here now!,spam
4,CRITICAL: email failure detected. Investigation ongoing.,incident
85,architecture performance metrics for last week.,report
78,hiring performance metrics for last week.,report
133,Approval needed for security budget increase.,approval
49,Weekly sync for budget team at 10am tomorrow.,meeting
107,You've been selected for investment! Claim your prize!,spam
18,URGENT: database service down. Immediate action required.,incident
124,"Congratulations! You won $10,000! Click here now!",spam
11,URGENT: authentication service down. Immediate action required.,incident
75,migration quarterly report attached for review.,report
140,Approval needed for project X budget increase.,approval
10,System alert: database experiencing errors. DevOps investigating.,incident
80,architecture quarterly report attached for review.,report
139,Please approve project X request by end of week.,approval
185,Don't forget: expenses submission due tomorrow.,reminder
172,Friendly reminder about OKRs meeting at 2pm.,reminder
125,"Unbelievable $10,000 deal! 90% discount today only!",spam
9,URGENT: API service down. Immediate action required.,incident
8,System alert: authentication experiencing errors. DevOps investigating.,incident
120,Get investment free! Act now before it's too late!,spam
15,CRITICAL: payment failure detected. Investigation ongoing.,incident
94,Annual hiring report ready for distribution.,report
41,Kickoff meeting for architecture initiative on Monday.,meeting
63,Kickoff meeting for project X initiative on Monday.,meeting
122,Unbelievable credit card deal! 90% discount today only!,spam
181,Please remember to submit timesheets by EOD.,reminder
19,Security incident: API vulnerability found. Patch needed urgently.,incident
150,Budget approval: migration project funding request.,approval
1,URGENT: authentication service down. Immediate action required.,incident
96,Monthly architecture analysis completed. Summary attached.,report
58,Team meeting scheduled for hiring to discuss migration.,meeting
159,Please approve architecture request by end of week.,approval
176,Friendly reminder about OKRs meeting at 2pm.,reminder
62,Team meeting scheduled for security to discuss migration.,meeting
38,Team meeting scheduled for security to discuss migration.,meeting
126,"Amazing $10,000 opportunity! Limited time offer!",spam
82,Annual migration report ready for distribution.,report
144,project X purchase order requires manager approval.,approval
92,Monthly project X analysis completed. Summary attached.,report
111,Get iPhone free! Act now before it's too late!,spam
108,You've been selected for iPhone! Claim your prize!,spam
184,Friendly reminder about reviews meeting at 2pm.,reminder
149,Please approve hiring request by end of week.,approval
53,Planning session for hiring project next week.,meeting
160,hiring purchase order requires manager approval.,approval
173,Please remember to submit reports by EOD.,reminder
197,Reminder: OKRs deadline is next Friday.,reminder
163,Approval needed for security budget increase.,approval
188,Don't forget: expenses submission due tomorrow.,reminder
119,Congratulations! You won iPhone! Click here now!,spam
68,architecture performance metrics for last week.,report
35,Weekly sync for project X team at 10am tomorrow.,meeting
22,System alert: API experiencing errors. DevOps investigating.,incident
192,Reminder: OKRs review needs to be completed.,reminder
177,Don't forget: OKRs submission due tomorrow.,reminder
86,security quarterly report attached for review.,report
55,Kickoff meeting for budget initiative on Monday.,meeting
3,Security incident: cloud vulnerability found. Patch needed urgently.,incident
33,Production issue: authentication not responding. Emergency response needed.,incident
117,Get prize free! Act now before it's too late!,spam
61,migration review meeting moved to Thursday.,meeting
71,Weekly hiring status update and progress report.,report
83,Monthly hiring analysis completed. Summary attached.,report
121,You've been selected for vacation! Claim your prize!,spam
24,URGENT: authentication service down. Immediate action required.,incident
76,hiring performance metrics for last week.,report
39,Team meeting scheduled for migration to discuss architecture.,meeting
34,Weekly sync for architecture team at 10am tomorrow.,meeting
138,Approval needed for security budget increase.,approval
21,URGENT: email service down. Immediate action required.,incident
48,Kickoff meeting for migration initiative on Monday.,meeting
87,Weekly migration status update and progress report.,report
98,Monthly security analysis completed. Summary attached.,report
180,Please remember to submit expenses by EOD.,reminder
114,Congratulations! You won investment! Click here now!,spam
161,hiring purchase order requires manager approval.,approval
145,Approval needed for budget budget increase.,approval
81,hiring performance metrics for last week.,report
112,Unbelievable vacation deal! 90% discount today only!,spam
135,Budget approval: security project funding request.,approval
196,Reminder: timesheets review needs to be completed.,reminder
151,Budget approval: migration project funding request.,approval
123,Unbelievable prize deal! 90% discount today only!,spam
101,Unbelievable investment deal! 90% discount today only!,spam
103,"Unbelievable $10,000 deal! 90% discount today only!",spam
183,Please remember to submit surveys by EOD.,reminder
54,Team meeting scheduled for project X to discuss security.,meeting
