id,email_text,created_at
6,Server down need help,2026-03-07 13:41:44.640690
7,Server down need help,2026-03-07 13:42:06.323429
8,Server down need help,2026-03-07 13:42:38.548167
9,Test body,2026-03-07 13:49:40.647167
10,Test body,2026-03-07 13:49:41.111614
11,Test body,2026-03-07 13:50:24.169934
12,Test body,2026-03-07 13:50:24.811288
13,Test body,2026-03-07 13:53:49.169652
14,Test body,2026-03-07 13:53:50.041838
15,Test body,2026-03-07 13:55:15.128528
16,Test body,2026-03-07 13:55:15.999857
17,Test body,2026-03-07 13:56:00.364506
18,Test body,2026-03-07 13:56:01.358516
19,Test body,2026-03-07 13:57:56.463845
20,Test body,2026-03-07 13:57:57.330288
21,"Subject: Project Status Update - Q1 2024
Team, please review the attached quarterly report. Sales increased 20% and customer satisfaction is up.",2026-03-07 14:21:14.708995
22,"Subject: Project Status Update - Q1 2024
Team, please review the attached quarterly report. Sales increased 20% and customer satisfaction is up.",2026-03-07 14:21:48.037469
23,"Subject: Project Status Update - Q1 2024
Team, please review the attached quarterly report. Sales increased 20% and customer satisfaction is up.",2026-03-07 14:22:30.359221
24,"Subject: Project Status Update - Q1 2024
Team, please review the attached quarterly report. Sales increased 20% and customer satisfaction is up.",2026-03-07 14:23:08.918297
25,Server down need help,2026-03-07 16:18:53.708657
26,Server down need help,2026-03-07 16:19:43.857693
27,Server down need help,2026-03-07 16:20:18.899530
28,Server down need help,2026-03-07 16:20:26.734240
29,Server down need help,2026-03-07 16:21:07.261552
30,Server down need help,2026-03-07 16:21:59.407942
31,This is a test email about a work meeting tomorrow.,2026-03-07 16:22:02.297112
32,Test body,2026-03-07 16:22:47.204257
33,Test body,2026-03-07 16:22:48.013477
34,Server down need help,2026-03-07 16:23:45.803277
35,This is a test email about a work meeting tomorrow.,2026-03-07 16:24:28.455145
36,Test body,2026-03-07 16:25:14.147423
37,Test body,2026-03-07 16:25:14.562775
38,This is a test email about a work meeting tomorrow.,2026-03-07 16:26:35.504350
39,"Sender: step6@example.com
Subject: Quarterly review meeting

Please review the attached KPI summary and join the meeting tomorrow.",2026-03-11 17:08:57.131937
40,"Sender: step6@example.com
Subject: Operational dashboard

This should update analytics tables for the Power BI dashboard readiness check.",2026-03-11 17:11:01.756484
41,"Sender: newsletter@techdaily.com
Subject: Weekly product roundup

Here is your weekly digest covering product launches, AI trends, and startup funding news.",2026-03-11 17:15:28.361058
42,"Sender: manager@company.com
Subject: Quarterly KPI review

Please review the quarterly KPI dashboard and join the leadership meeting tomorrow at 10 AM.",2026-03-11 17:15:30.443660
43,"Sender: winner@claim-now.biz
Subject: You won $1,000,000

Congratulations! Click here right now to claim your cash prize before it expires.",2026-03-11 17:15:31.626469
44,"Sender: neighbor@mail.com
Subject: Need a small favor

Could you collect my package tomorrow if it arrives before I get home?",2026-03-11 17:15:32.759038
45,"Sender: winner@claim-now.biz
Subject: You won $1,000,000

Congratulations! Click here right now to claim your cash prize before it expires.",2026-03-11 17:15:34.835004
46,"Sender: briefing@mediahub.net
Subject: Daily briefing

Top stories and curated reads for today, including tech, business, and culture highlights.",2026-03-11 17:15:36.666340
47,"Sender: manager@company.com
Subject: Quarterly KPI review

Please review the quarterly KPI dashboard and join the leadership meeting tomorrow at 10 AM.",2026-03-11 17:15:37.723928
48,"Sender: manager@company.com
Subject: Quarterly KPI review

Please review the quarterly KPI dashboard and join the leadership meeting tomorrow at 10 AM.",2026-03-11 17:15:39.826215
49,"Sender: lottery@jackpot.xyz
Subject: Urgent prize notification

Your account has been selected for a grand prize. Submit bank details immediately.",2026-03-11 17:15:41.682516
50,"Sender: updates@insights.org
Subject: Monthly industry digest

This month's newsletter covers market analysis, policy updates, and expert commentary.",2026-03-11 17:15:43.642094
51,"Sender: ops@company.com
Subject: Client escalation

A client issue needs immediate investigation. Share the root cause analysis by afternoon.",2026-03-11 17:15:44.751496
52,"Sender: neighbor@mail.com
Subject: Need a small favor

Could you collect my package tomorrow if it arrives before I get home?",2026-03-11 17:15:46.837132
53,"Sender: briefing@mediahub.net
Subject: Daily briefing

Top stories and curated reads for today, including tech, business, and culture highlights.",2026-03-11 17:15:47.809688
54,"Sender: friend@gmail.com
Subject: Dinner this weekend?

Hey, are you free for dinner on Saturday evening? Let me know what time works for you.",2026-03-11 17:15:48.944276
55,"Sender: neighbor@mail.com
Subject: Need a small favor

Could you collect my package tomorrow if it arrives before I get home?",2026-03-11 17:15:49.935193
56,"Sender: neighbor@mail.com
Subject: Need a small favor

Could you collect my package tomorrow if it arrives before I get home?",2026-03-11 17:15:51.023589
57,"Sender: neighbor@mail.com
Subject: Need a small favor

Could you collect my package tomorrow if it arrives before I get home?",2026-03-11 17:15:52.968497
58,"Sender: deals@shopnow.com
Subject: 50% off this week

Huge sale on all electronics this week only. Use code SAVE50 at checkout.",2026-03-11 17:15:54.788978
59,"Sender: friend@gmail.com
Subject: Dinner this weekend?

Hey, are you free for dinner on Saturday evening? Let me know what time works for you.",2026-03-11 17:15:55.918260
60,"Sender: winner@claim-now.biz
Subject: You won $1,000,000

Congratulations! Click here right now to claim your cash prize before it expires.",2026-03-11 17:15:57.120541
61,"Sender: crypto@fastprofit.co
Subject: Guaranteed returns today

Double your money instantly with this secret trading trick. Limited offer for selected users only.",2026-03-11 17:16:00.669755
62,"Sender: newsletter@techdaily.com
Subject: Weekly product roundup

Here is your weekly digest covering product launches, AI trends, and startup funding news.",2026-03-11 17:16:02.565967
63,"Sender: briefing@mediahub.net
Subject: Daily briefing

Top stories and curated reads for today, including tech, business, and culture highlights.",2026-03-11 17:16:03.645750
64,"Sender: friend@gmail.com
Subject: Dinner this weekend?

Hey, are you free for dinner on Saturday evening? Let me know what time works for you.",2026-03-11 17:16:04.655481
65,"Sender: offers@brandstore.com
Subject: Flash sale ends tonight

Exclusive limited-time promotion on premium products. Shop before midnight.",2026-03-11 17:16:05.615864
66,"Sender: hr@company.com
Subject: Project deadline update

The project timeline has shifted. Please send the revised status report before end of day.",2026-03-11 17:16:07.381142
67,"Sender: friend@gmail.com
Subject: Dinner this weekend?

Hey, are you free for dinner on Saturday evening? Let me know what time works for you.",2026-03-11 17:16:08.314101
68,"Sender: hr@company.com
Subject: Project deadline update

The project timeline has shifted. Please send the revised status report before end of day.",2026-03-11 17:16:09.343664
69,"Sender: deals@shopnow.com
Subject: 50% off this week

Huge sale on all electronics this week only. Use code SAVE50 at checkout.",2026-03-11 17:16:10.387683
70,"Sender: updates@insights.org
Subject: Monthly industry digest

This month's newsletter covers market analysis, policy updates, and expert commentary.",2026-03-11 17:16:12.180998
71,"Sender: updates@insights.org
Subject: Monthly industry digest

This month's newsletter covers market analysis, policy updates, and expert commentary.",2026-03-11 17:16:14.128431
